,Outcome,HomeTeam,AwayTeam,HomeScores,AwayScores,Date,Month,Year,HomeHalfScores,HomeScrums,HomePenalties,AwayHalfScores,AwayScrums,AwayPenalties
219,loose,Penrith,Melbourne,18,40,15/04/2015,4,2006,10,4,5,12,7,4
220,loose,Newcastle,North Queensland,16,18,16/04/2015,4,2006,10,7,6,6,12,12
221,win,Wests Tigers,Cronulla,42,16,16/04/2015,4,2006,24,4,13,16,6,4
222,loose,South Sydney,Bulldogs,18,26,17/04/2015,4,2006,18,4,6,8,8,6
223,win,Parramatta,Wests Tigers,28,16,21/04/2015,4,2006,14,7,7,6,5,9
224,win,Cronulla,North Queensland,24,22,22/04/2015,4,2006,10,4,4,22,7,3
225,win,Melbourne,Newcastle,52,6,22/04/2015,4,2006,24,3,11,6,5,6
226,win,Warriors,South Sydney,46,14,22/04/2015,4,2006,26,7,6,4,9,8
227,win,Brisbane,Penrith,30,6,23/04/2015,4,2006,12,11,7,0,10,6
228,loose,Bulldogs,Manly Warringah,14,40,23/04/2015,4,2006,6,7,5,28,6,6
229,win,St George Illawarra,Sydney,22,12,25/04/2015,4,2006,14,6,12,12,8,9
230,loose,Penrith,Cronulla,12,40,28/04/2015,4,2006,12,5,3,22,4,2
231,win,Brisbane,Canberra,30,28,29/04/2015,4,2006,0,4,8,18,10,3
232,win,Melbourne,St George Illawarra,24,10,29/04/2015,4,2006,14,6,11,4,6,6
233,loose,North Queensland,Sydney,18,22,29/04/2015,4,2006,6,11,10,10,14,3
234,win,Manly Warringah,Parramatta,23,22,30/04/2015,4,2006,12,8,8,16,4,5
235,loose,South Sydney,Newcastle,18,24,30/04/2015,4,2006,6,8,9,12,6,5
236,loose,Warriors,Bulldogs,16,30,30/04/2015,4,2006,8,8,12,16,3,9
237,win,North Queensland,Penrith,22,6,6/05/2015,5,2006,10,6,4,0,7,6
238,loose,Parramatta,Canberra,10,30,6/05/2015,5,2006,4,3,6,18,7,5
239,loose,South Sydney,Melbourne,14,38,6/05/2015,5,2006,6,7,7,8,5,6
240,win,Cronulla,St George Illawarra,30,12,7/05/2015,5,2006,12,8,5,12,8,3
241,win,Newcastle,Brisbane,32,30,7/05/2015,5,2006,20,5,6,14,7,3
242,loose,Sydney,Bulldogs,14,30,7/05/2015,5,2006,12,7,3,6,7,4
243,win,Wests Tigers,Manly Warringah,24,18,7/05/2015,5,2006,16,5,11,14,5,8
244,win,Brisbane,Manly Warringah,32,10,13/05/2015,5,2006,14,8,3,6,7,3
245,win,Melbourne,North Queensland,18,6,13/05/2015,5,2006,12,9,2,0,4,1
246,win,St George Illawarra,Warriors,22,16,13/05/2015,5,2006,12,2,10,12,2,5
247,win,Bulldogs,Parramatta,22,18,14/05/2015,5,2006,18,7,4,6,7,6
248,loose,Canberra,Cronulla,28,38,14/05/2015,5,2006,6,4,5,24,9,6
249,win,Penrith,South Sydney,32,20,14/05/2015,5,2006,18,9,8,4,2,7
250,loose,Wests Tigers,Newcastle,16,18,14/05/2015,5,2006,10,9,6,12,3,4
251,win,Penrith,Parramatta,30,20,19/05/2015,5,2006,22,7,9,16,6,6
252,win,Manly Warringah,Melbourne,34,12,20/05/2015,5,2006,16,7,2,0,6,3
253,win,Newcastle,Canberra,22,12,20/05/2015,5,2006,12,8,4,6,7,2
254,win,Warriors,Wests Tigers,34,12,20/05/2015,5,2006,22,7,3,6,8,7
255,win,Bulldogs,Cronulla,32,24,21/05/2015,5,2006,14,2,8,6,5,11
256,win,Sydney,South Sydney,28,26,21/05/2015,5,2006,12,5,4,10,12,2
257,loose,Newcastle,St George Illawarra,12,38,26/05/2015,5,2006,6,7,2,20,10,4
258,win,Brisbane,Bulldogs,25,6,27/05/2015,5,2006,18,4,5,0,5,5
259,win,Cronulla,Warriors,34,20,27/05/2015,5,2006,24,6,5,4,4,2
260,loose,North Queensland,Canberra,14,15,27/05/2015,5,2006,8,12,6,12,5,4
261,win,Melbourne,Penrith,17,16,28/05/2015,5,2006,12,7,5,10,8,4
262,win,Parramatta,Sydney,22,20,28/05/2015,5,2006,22,4,1,0,8,3
